Number,Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
1,-0.0117633588,-0.0046145038,0.0162061069,-0.0034804687,-0.0040599365,1.0104700928
2,0.0035038168,0.0106526718,0.0009389313,0.0043320313,-0.0023509521,0.9860560303
3,0.0111374046,-0.0046145038,0.0085725191,0.0011582031,-0.0152904053,1.0014368896
4,0.0264045802,0.003019084,0.0009389313,0.0101914063,0.0049732666,1.0009486084
5,0.0035038168,-0.0046145038,0.0009389313,0.0001816406,0.0035084229,0.9985072021
6,-0.004129771,-0.0046145038,0.0009389313,0.0011582031,0.0147388916,0.9997279053
7,-0.0117633588,-0.0122480916,-0.0066946565,-0.0186171875,0.0083912354,1.0058314209
8,0.0035038168,0.0106526718,0.0085725191,0.0009140625,0.0015552979,0.9977747803
9,-0.004129771,0.0259198473,0.0009389313,-0.0044570312,0.0032642822,0.9902064209
10,0.0111374046,0.0106526718,0.0085725191,0.0021347656,0.0015552979,1.0060755615
11,0.0035038168,0.0106526718,-0.0143282443,0.0001816406,-0.0113841553,0.9965540771
12,-0.004129771,-0.0122480916,-0.0066946565,-0.0044570312,-0.0143138428,1.0077845459
13,-0.004129771,0.0259198473,-0.0066946565,-0.0029921875,-0.0047923584,1.0104700928
14,-0.0193969466,-0.0046145038,-0.0066946565,-0.0015273437,-0.0025950928,0.9948450928
15,-0.0117633588,0.0106526718,0.0085725191,-0.00396875,0.000822876,1.003145874
16,-0.0117633588,0.003019084,-0.0066946565,-0.0005507812,0.0013111572,0.9867884521
17,-0.004129771,0.003019084,0.0238396947,0.0092148438,0.0015552979,1.0038782959
18,-0.004129771,-0.0122480916,-0.0066946565,0.0033554688,0.0044849854,1.0077845459
19,0.0035038168,0.0182862595,-0.0143282443,-0.0027480469,0.000822876,1.0043665771
20,-0.0117633588,-0.0122480916,-0.0143282443,-0.0032363281,0.0039967041,0.999239624
21,-0.0117633588,0.0182862595,0.0009389313,0.0016464844,-0.012848999,0.9831263428
22,-0.0117633588,0.0182862595,0.0085725191,-0.0005507812,-0.0001536865,1.0053431396
23,-0.004129771,0.003019084,0.0009389313,-0.013734375,0.0003345947,0.9985072021
24,-0.004129771,-0.0198816794,0.0009389313,-0.0022597656,-0.0123607178,1.0085169678
25,0.0035038168,-0.0046145038,0.0009389313,-0.0003066406,-0.0057689209,1.0016810303
26,-0.0193969466,0.0335534351,0.0162061069,0.0011582031,-0.0008861084,0.9999720459
