Number,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
1,-0.0134656489,-0.0055419847,0.0154274809,0.0041060791,-0.0037467041,0.989125
2,0.0170687023,-0.0055419847,0.0077938931,0.0038619385,-0.0052115479,1.0010878906
3,0.0094351145,0.0097251908,0.0154274809,0.0163131104,0.0028450928,1.0010878906
4,-0.0058320611,0.0097251908,0.0001603053,-0.001020874,-0.004479126,1.0059707031
5,0.0094351145,0.0020916031,0.0001603053,0.0143599854,0.0001595459,1.0162246094
6,-0.0058320611,0.0097251908,0.0001603053,0.0019088135,-0.0105826416,0.9959609375
7,0.0018015267,-0.0055419847,0.0077938931,-0.0041947021,0.0026009521,0.9962050781
8,-0.0210992366,0.0097251908,0.0077938931,-4.43115234371461E-05,0.0021126709,1.0052382813
9,-0.0058320611,-0.0131755725,0.0001603053,0.0006881104,-0.0098502197,1.002796875
10,-0.0210992366,0.0020916031,0.0077938931,-4.43115234371461E-05,0.0030892334,0.9964492188
11,0.0018015267,-0.0055419847,0.0154274809,0.0075240479,0.0006478271,0.9957167969
12,0.0094351145,0.0097251908,-0.0151068702,-4.43115234371461E-05,-0.0013052979,0.9922988281
13,-0.0058320611,-0.0055419847,0.0077938931,0.0004439697,0.0004036865,1.0010878906
14,-0.0058320611,-0.0131755725,0.0154274809,0.0004439697,0.003333374,1.0005996094
15,-0.0058320611,0.0173587786,0.0154274809,-0.0105423584,-0.0049674072,1.0064589844
16,-0.0058320611,-0.0131755725,0.0077938931,0.0011763916,-0.000572876,0.9944960938
17,0.0094351145,-0.0055419847,0.0001603053,-0.0066361084,-0.004479126,0.9991347656
18,0.0094351145,0.0097251908,0.0001603053,-0.0039505615,0.005286499,0.9937636719
19,0.0018015267,0.0020916031,0.0001603053,0.0053267822,-0.0013052979,1.0015761719
20,0.0018015267,-0.0208091603,0.0077938931,-0.0122513428,0.003333374,1.0023085938
21,-0.0134656489,0.0097251908,0.0154274809,-0.001020874,0.0057747803,0.9971816406
22,0.0094351145,-0.0284427481,0.0001603053,0.0045943604,0.0006478271,1.00475
23,-0.0058320611,0.0097251908,0.0154274809,0.0043502197,-0.0015494385,0.9959609375
24,0.0094351145,0.0020916031,0.0077938931,0.0050826416,0.0047982178,0.9976699219
25,-0.0058320611,0.0173587786,-0.0074732824,0.0011763916,-8.45947265625015E-05,1.0032851563
26,-0.0134656489,0.0020916031,0.0077938931,0.0163131104,0.0050423584,1.0003554688
27,0.0094351145,0.0097251908,0.0077938931,0.0004439697,0.0028450928,0.998890625
28,-0.0134656489,0.0020916031,0.0001603053,-0.0120072021,-0.0088736572,0.9993789063
29,-0.0134656489,-0.0055419847,-0.0074732824,0.0036177979,0.0001595459,1.0198867188
30,-0.0058320611,0.0097251908,-0.0074732824,-0.002973999,-0.000572876,0.9974257813
31,-0.0287328244,0.0097251908,0.0001603053,-0.0027298584,-0.0010611572,1.0198867188
32,-0.0058320611,-0.0131755725,0.0001603053,-0.0024857178,-0.0088736572,1.0003554688
33,0.0018015267,-0.0055419847,0.0306946565,0.004838501,-0.004479126,0.994984375
34,0.0018015267,-0.0208091603,0.0154274809,0.0016646729,0.017005249,1.0032851563
35,-0.0210992366,0.0097251908,0.0154274809,-0.0027298584,0.0023568115,0.9984023438
36,0.0170687023,0.0173587786,0.0154274809,-0.0105423584,-0.004479126,1.0020644531
37,0.0170687023,0.0020916031,0.0001603053,-0.0002884521,0.0006478271,0.9927871094
38,-0.0134656489,0.0173587786,0.0001603053,0.0058150635,0.0099251709,0.9962050781
39,0.0018015267,-0.0208091603,0.0001603053,-0.0022415771,-0.0010611572,0.9991347656
40,0.0018015267,-0.0131755725,0.0306946565,0.004838501,-0.0069205322,1.0001113281
41,0.0170687023,0.0020916031,-0.0074732824,-0.0110306396,-0.0013052979,1.0020644531
42,-0.0134656489,0.0249923664,-0.0151068702,0.0023970947,-0.0030142822,0.998890625
43,0.0247022901,-0.0131755725,0.0154274809,0.0153365479,-0.0013052979,1.0005996094
44,0.0018015267,0.0097251908,-0.0151068702,0.0099654541,-0.0054556885,0.9947402344
45,0.0094351145,0.0097251908,0.0230610687,0.0045943604,-0.0096060791,0.9959609375
46,0.0018015267,0.0020916031,0.0001603053,0.0160689697,0.0043099365,0.9957167969
47,-0.0058320611,0.0097251908,0.0306946565,0.0006881104,0.0008919678,0.9962050781
48,-0.0058320611,-0.0131755725,-0.0074732824,-0.0012650146,-0.0037467041,0.9991347656
49,-0.0058320611,0.0097251908,-0.0151068702,-0.0015091553,0.0065072021,0.9942519531
50,0.0018015267,0.0097251908,-0.0074732824,-4.43115234371461E-05,0.0021126709,0.9954726563
51,-0.0210992366,0.0020916031,0.0001603053,-0.0085892334,0.003333374,0.9998671875
52,-0.0058320611,-0.0131755725,0.0230610687,0.0026412354,-0.0030142822,0.9915664063
53,0.0018015267,-0.0131755725,0.0077938931,0.0016646729,0.0043099365,0.9898574219
54,-0.0134656489,-0.0055419847,0.0001603053,-0.0100540771,0.0145638428,0.9959609375
55,0.0018015267,-0.0131755725,-0.0151068702,-0.0046829834,-0.0003287354,0.9937636719
56,-0.0058320611,0.0173587786,0.0077938931,-0.0041947021,-0.0020377197,1.0003554688
57,0.0170687023,0.0097251908,0.0154274809,-0.0017532959,-0.0074088135,1.006703125
58,0.0323358779,-0.0055419847,0.0306946565,-0.0019974365,0.0047982178,1.0032851563
59,-0.0210992366,-0.0131755725,0.0077938931,0.0014205322,0.0021126709,1.0098769531
60,0.0170687023,-0.0055419847,0.0077938931,0.0033736572,-0.0059439697,0.9969375
61,0.0094351145,-0.0208091603,0.0230610687,0.0001998291,-0.0061881104,0.9979140625
62,0.0018015267,-0.0208091603,-0.0074732824,-0.0073685303,0.0028450928,0.9984023438
63,0.0094351145,0.0020916031,0.0154274809,0.000932251,-0.000572876,1.0159804688
64,0.0018015267,-0.0055419847,0.0001603053,0.0097213135,0.001380249,0.9986464844
65,-0.0058320611,-0.0055419847,0.0077938931,-0.0085892334,0.0026009521,1.0191542969
66,0.0094351145,0.0097251908,-0.0074732824,-0.0007767334,0.0016243896,0.9913222656
67,-0.0134656489,-0.0055419847,0.0154274809,0.0058150635,-0.0054556885,0.9903457031
68,-0.0058320611,-0.0055419847,0.0001603053,-4.43115234371461E-05,-0.0059439697,0.9898574219
69,0.0094351145,0.0020916031,0.0001603053,0.0128951416,-0.0008170166,1.0023085938
70,0.0170687023,0.0020916031,0.0001603053,-0.0076126709,-0.0010611572,1.0020644531
71,0.0018015267,0.0249923664,0.0154274809,0.0041060791,0.0006478271,1.0037734375
72,0.0094351145,0.0020916031,0.0154274809,-0.0117630615,-0.0010611572,0.9896132813
73,-0.0058320611,0.0097251908,0.0077938931,0.000932251,0.0011361084,1.0035292969
74,-0.0134656489,-0.0055419847,-0.0074732824,-0.0005325928,-0.0008170166,1.002796875
75,0.0018015267,0.0173587786,0.0077938931,0.0001998291,0.0008919678,1.0172011719
76,-0.0058320611,-0.0208091603,0.0154274809,-0.0078568115,0.0021126709,1.0020644531
77,0.0018015267,0.0020916031,0.0077938931,0.016557251,0.0008919678,1.00865625
78,-0.0134656489,0.0020916031,-0.0151068702,0.0043502197,-0.0054556885,0.9971816406
79,0.0018015267,-0.0208091603,0.0001603053,0.0006881104,0.0006478271,0.9969375
