Number,Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z,MagX,MagY,MagZ
1,-0.9236793893129776,-7.455335877862596,3.5967022900763337,-0.0027803955078123596,-0.0001788330078123096,1.0026893310546896,-3690.6,-1728.8999999999999,148.79999999999998
2,-0.23665648854961874,-4.371366412213741,-4.8307786259542,-0.0025362548828123596,-0.0018878173828123096,0.9848670654296896,-3690.6,-1728.8999999999999,148.79999999999998
3,2.1144885496183203,-0.6156412213740459,5.627236641221372,0.0001492919921876404,0.0007977294921876904,1.0043983154296896,-3690.6,-1728.8999999999999,148.79999999999998
4,-0.09925190839694698,-1.9438854961832062,-2.052152671755727,-9.484863281235961e-05,-0.0016436767578123096,0.9978065185546896,-3690.6,-1728.8999999999999,148.79999999999998
5,0.9389160305343507,-0.2034274809160306,3.474564885496181,-0.0003389892578123596,0.0029949951171876904,0.9997596435546896,-3690.6,-1728.8999999999999,148.79999999999998
6,-1.152687022900764,1.6286335877862594,3.123419847328242,-0.0022921142578123596,0.0027508544921876904,1.0019569091796896,-3690.6,-1728.8999999999999,148.79999999999998
7,-1.152687022900764,-0.3255648854961833,-0.3422290076335903,0.0001492919921876404,-0.0004229736328123096,1.0004920654296896,-3690.6,-1728.8999999999999,148.79999999999998
8,-1.5801679389312981,3.6591679389312977,-6.34222900763359,-9.484863281235961e-05,-0.00408508300781231,1.0095252685546896,-3690.6,-1728.8999999999999,148.79999999999998
9,-2.1297862595419854,4.224053435114504,-2.3269618320610705,-0.0005831298828123596,0.0010418701171876904,1.0114783935546896,-3690.6,-1728.8999999999999,148.79999999999998
10,0.4961679389312972,-2.066022900763359,0.7417404580152649,-0.0015596923828123596,-0.01507141113281231,0.9990272216796896,-3690.6,-1728.8999999999999,148.79999999999998
11,-1.1068854961832064,-0.8293816793893131,-2.693374045801529,-0.00473352050781236,0.0012860107421876904,0.9995155029296896,-3690.6,-1728.8999999999999,148.79999999999998
12,-2.0076488549618325,-2.5851068702290076,-7.50253435114504,0.0003934326171876404,-0.0004229736328123096,1.0017127685546896,-3690.6,-1728.8999999999999,148.79999999999998
13,0.6793740458015263,2.7736717557251906,-0.32696183206107055,-0.0010714111328123596,-0.0038409423828123096,1.0026893310546896,-3690.6,-1728.8999999999999,148.79999999999998
14,-1.534366412213741,1.7049694656488548,-2.7697099236641245,0.0018582763671876404,-0.0016436767578123096,1.0036658935546896,-3690.6,-1728.8999999999999,148.79999999999998
15,1.1526564885496178,0.8500076335877862,4.283725190839693,0.0011258544921876404,-0.0026202392578123096,1.0065955810546896,-3690.6,-1728.8999999999999,148.79999999999998
16,-1.152687022900764,1.4759618320610686,0.2531908396946543,0.0018582763671876404,0.0005535888671876904,0.9992713623046896,-3690.6,-1728.8999999999999,148.79999999999998
17,2.496167938931297,1.1706183206106868,-4.021618320610689,-0.0020479736328123596,0.0007977294921876904,1.0002479248046896,-3690.6,-1728.8999999999999,148.79999999999998
18,-2.312992366412214,3.4148931297709924,2.298992366412212,0.0006375732421876404,0.00421569824218769,0.9965858154296896,-3690.6,-1728.8999999999999,148.79999999999998
19,1.8091450381679386,1.2164198473282442,2.81807633587786,0.0011258544921876404,-0.0001788330078123096,1.0019569091796896,-3690.6,-1728.8999999999999,148.79999999999998
20,-3.04581679389313,-2.401900763358779,-2.082687022900765,-0.0015596923828123596,0.0025067138671876904,1.0012244873046896,-3690.6,-1728.8999999999999,148.79999999999998
21,-2.0992519083969468,5.002679389312977,2.3447938931297685,-0.0005831298828123596,6.53076171876904e-05,1.0051307373046896,-3690.6,-1728.8999999999999,148.79999999999998
22,-1.4122290076335882,2.254587786259542,2.16158778625954,-0.01987023925781236,0.0010418701171876904,0.9990272216796896,-3690.6,-1728.8999999999999,148.79999999999998
23,-0.5725343511450387,-1.0736564885496183,4.176854961832059,0.0011258544921876404,0.0017742919921876904,0.9982947998046896,-3690.6,-1728.8999999999999,148.79999999999998
24,-0.45039694656488605,2.101916030534351,-1.1513893129771011,0.0003934326171876404,0.01300476074218769,0.9975623779296896,-3690.6,-1728.8999999999999,148.79999999999998
25,-0.7557404580152676,-1.7759465648854962,0.7722748091603036,0.0028348388671876404,0.00397155761718769,0.9948768310546896,-3690.6,-1728.8999999999999,148.79999999999998
26,-2.496198473282443,-4.768312977099237,-2.815511450381682,-0.0020479736328123596,0.0020184326171876904,1.0056190185546896,-3690.6,-1728.8999999999999,148.79999999999998
27,2.0381526717557246,5.216419847328244,-8.601770992366415,0.00429968261718764,-0.0021319580078123096,0.9985389404296896,-3690.6,-1728.8999999999999,148.79999999999998
28,-2.0992519083969468,1.5980992366412212,6.283725190839692,-0.0013155517578123596,0.0029949951171876904,0.9980506591796896,-3690.6,-1728.8999999999999,148.79999999999998
29,-0.7099389312977105,3.2469541984732824,2.054717557251906,-0.0027803955078123596,0.0012860107421876904,1.0026893310546896,-3690.6,-1728.8999999999999,148.79999999999998
30,0.022885496183205678,1.1095496183206106,-1.3498625954198493,-0.0010714111328123596,0.00421569824218769,1.0107459716796896,-3690.6,-1728.8999999999999,148.79999999999998
31,-0.49619847328244315,0.6515343511450381,3.123419847328242,0.00405554199218764,6.53076171876904e-05,0.9995155029296896,-3690.6,-1728.8999999999999,148.79999999999998
32,-0.23665648854961874,4.6209999999999996,1.0318167938931273,0.00478796386718764,-0.0011553955078123096,0.9992713623046896,-3690.6,-1728.8999999999999,148.79999999999998
33,-1.3511603053435117,3.2622213740458013,3.840977099236639,0.0008817138671876404,-0.0028643798828123096,0.9990272216796896,-3690.6,-1728.8999999999999,148.79999999999998
34,-0.6183358778625958,5.628633587786259,-4.143755725190842,-9.484863281235961e-05,0.0010418701171876904,0.9838905029296896,-3690.6,-1728.8999999999999,148.79999999999998
35,-2.190854961832062,-2.066022900763359,3.4287633587786237,-0.0010714111328123596,0.0005535888671876904,1.0097694091796896,-3690.6,-1728.8999999999999,148.79999999999998
36,-0.1450534351145043,-3.8370152671755724,-4.143755725190842,0.0023465576171876404,-0.0023760986328123096,1.0004920654296896,-3690.6,-1728.8999999999999,148.79999999999998
37,0.9847175572519079,3.872908396946565,-1.4261984732824446,-9.484863281235961e-05,0.0005535888671876904,1.0029334716796896,-3690.6,-1728.8999999999999,148.79999999999998
38,-1.931312977099237,-2.0812900763358777,1.5356335877862577,0.0018582763671876404,0.0012860107421876904,0.9956092529296896,-3690.6,-1728.8999999999999,148.79999999999998
39,1.7938778625954193,7.384358778625954,-3.8689465648854986,0.0028348388671876404,-0.0016436767578123096,0.9992713623046896,-3690.6,-1728.8999999999999,148.79999999999998
40,0.8931145038167934,-6.020221374045802,-2.9681832061068727,-0.0013155517578123596,6.53076171876904e-05,1.0017127685546896,-3690.6,-1728.8999999999999,148.79999999999998
41,0.5114351145038163,3.5828320610687023,2.940213740458013,-0.00546594238281236,0.0010418701171876904,1.0097694091796896,-3690.6,-1728.8999999999999,148.79999999999998
42,-1.0152824427480922,-1.2721297709923665,-0.5407022900763376,-0.0005831298828123596,-0.0006671142578123096,0.9990272216796896,-3690.6,-1728.8999999999999,148.79999999999998
43,-1.5801679389312981,0.3919923664122137,-1.059786259541987,-0.0020479736328123596,0.0005535888671876904,1.0107459716796896,-3690.6,-1728.8999999999999,148.79999999999998
44,-1.2748244274809164,3.369091603053435,-2.388030534351148,0.0003934326171876404,6.53076171876904e-05,0.9943885498046896,-3690.6,-1728.8999999999999,148.79999999999998
45,-0.9694809160305347,3.5828320610687023,1.840977099236639,0.0035672607421876404,6.53076171876904e-05,1.0056190185546896,-3690.6,-1728.8999999999999,148.79999999999998
46,-0.9694809160305347,4.1782519083969465,0.6806717557251885,-0.0018038330078123596,-0.0011553955078123096,1.0061072998046896,-3690.6,-1728.8999999999999,148.79999999999998
47,-2.7099389312977102,-3.149992366412214,-1.3651297709923682,0.0011258544921876404,-0.0004229736328123096,1.0004920654296896,-3690.6,-1728.8999999999999,148.79999999999998
48,1.3358625954198469,2.78893893129771,-4.449099236641223,0.0018582763671876404,-0.0006671142578123096,0.9982947998046896,-3690.6,-1728.8999999999999,148.79999999999998
49,1.3358625954198469,-0.0202213740458016,5.123419847328242,-0.0003389892578123596,-0.01702453613281231,1.0004920654296896,-3690.6,-1728.8999999999999,148.79999999999998
50,1.5038015267175568,-2.9667862595419847,-4.494900763358781,0.0013699951171876404,6.53076171876904e-05,1.0007362060546896,-3690.6,-1728.8999999999999,148.79999999999998
51,-1.2748244274809164,3.1248167938931295,1.1386870229007613,-0.0008272705078123596,0.0015301513671876904,1.0034217529296896,-3690.6,-1728.8999999999999,148.79999999999998
52,0.816778625954198,1.5064961832061068,4.863877862595418,0.0016141357421876404,0.00592468261718769,1.0002479248046896,-3690.6,-1728.8999999999999,148.79999999999998
53,2.7099083969465645,4.926343511450382,-8.143755725190843,0.00454382324218764,0.0027508544921876904,0.9934119873046896,-3690.6,-1728.8999999999999,148.79999999999998
54,0.022885496183205678,-5.195793893129771,2.298992366412212,0.0003934326171876404,-0.0004229736328123096,1.0012244873046896,-3690.6,-1728.8999999999999,148.79999999999998
55,0.4656335877862591,3.308022900763359,-0.3422290076335903,0.0023465576171876404,-0.01629211425781231,1.0007362060546896,-3690.6,-1728.8999999999999,148.79999999999998
56,0.6335725190839689,1.4912290076335877,-3.1055877862595436,-0.0003389892578123596,-0.0021319580078123096,0.9941444091796896,-3690.6,-1728.8999999999999,148.79999999999998
57,2.297694656488549,-4.814114503816794,-0.05215267175572702,0.0011258544921876404,-0.00408508300781231,0.9819373779296896,-3690.6,-1728.8999999999999,148.79999999999998
58,-2.5420000000000007,-1.3026641221374047,6.4516641221374025,-0.0003389892578123596,0.0029949951171876904,1.0029334716796896,-3690.6,-1728.8999999999999,148.79999999999998
59,-0.49619847328244315,-4.997320610687023,6.436396946564884,-0.0010714111328123596,-0.0006671142578123096,0.9987830810546896,-3690.6,-1728.8999999999999,148.79999999999998
60,-2.6641374045801536,0.2545877862595419,-4.052152671755727,-0.0005831298828123596,0.0005535888671876904,1.0019569091796896,-3690.6,-1728.8999999999999,148.79999999999998
61,-0.5725343511450387,2.651534351145038,5.32189312977099,0.0013699951171876404,-0.0004229736328123096,1.0009803466796896,-3690.6,-1728.8999999999999,148.79999999999998
62,-1.6107022900763364,-6.004954198473283,-3.8078778625954213,-0.0013155517578123596,-0.0013995361328123096,0.9980506591796896,-3690.6,-1728.8999999999999,148.79999999999998
63,0.8931145038167934,-0.2034274809160306,3.3066259541984713,0.0038114013671876404,6.53076171876904e-05,1.0119666748046896,-3690.6,-1728.8999999999999,148.79999999999998
64,2.0228854961832057,2.5904656488549618,-1.9605496183206137,0.00600866699218764,-0.0006671142578123096,1.0017127685546896,-3690.6,-1728.8999999999999,148.79999999999998
65,-0.45039694656488605,1.4606946564885495,-0.9681832061068727,0.0028348388671876404,-0.01604797363281231,1.0012244873046896,-3690.6,-1728.8999999999999,148.79999999999998
66,0.7251755725190835,-2.814114503816794,-0.8002442748091623,-0.0020479736328123596,-0.0031085205078123096,1.0022010498046896,-3690.6,-1728.8999999999999,148.79999999999998
67,0.7251755725190835,7.048480916030535,-6.418564885496186,-0.00400109863281236,-0.0006671142578123096,1.0009803466796896,-3690.6,-1728.8999999999999,148.79999999999998
68,-1.1832213740458022,2.3919923664122136,-8.891847328244278,-0.0008272705078123596,-0.0009112548828123096,1.0012244873046896,-3690.6,-1728.8999999999999,148.79999999999998
69,-1.534366412213741,3.216419847328244,2.741740458015265,0.0030789794921876404,-0.0004229736328123096,0.9990272216796896,-3690.6,-1728.8999999999999,148.79999999999998
70,-0.45039694656488605,1.3843587786259541,4.100519083969464,0.0035672607421876404,-0.0011553955078123096,0.9992713623046896,-3690.6,-1728.8999999999999,148.79999999999998
71,0.6030381679389308,-7.577473282442748,-2.601770992366414,0.0013699951171876404,-0.01751281738281231,0.9992713623046896,-3690.6,-1728.8999999999999,148.79999999999998
72,0.2824274809160301,5.796572519083969,-8.601770992366415,0.0008817138671876404,6.53076171876904e-05,0.9958533935546896,-3690.6,-1728.8999999999999,148.79999999999998
73,-0.4045954198473287,-3.195793893129771,-0.006351145038170358,-0.00644250488281236,0.01349304199218769,0.9958533935546896,-3690.6,-1728.8999999999999,148.79999999999998
74,2.5572366412213734,-1.9896870229007635,-5.746809160305346,-0.0022921142578123596,-0.00701477050781231,1.0031776123046896,-3690.6,-1728.8999999999999,148.79999999999998
75,3.030519083969465,3.766038167938931,3.0623511450381655,0.0013699951171876404,0.0012860107421876904,0.9990272216796896,-3690.6,-1728.8999999999999,148.79999999999998
76,0.0839541984732819,-3.9438854961832064,-1.716274809160308,0.0016141357421876404,0.0015301513671876904,0.9931678466796896,-3690.6,-1728.8999999999999,148.79999999999998
77,-1.0916183206106875,1.7965725190839694,-0.8918473282442774,0.0016141357421876404,-0.0006671142578123096,1.0004920654296896,-3690.6,-1728.8999999999999,148.79999999999998
78,-1.4427633587786264,-2.3713664122137406,-5.609404580152673,-0.00448937988281236,0.00421569824218769,1.0043983154296896,-3690.6,-1728.8999999999999,148.79999999999998
79,2.4198320610687016,-2.982053435114504,4.436396946564884,-0.0032686767578123596,-0.01604797363281231,0.9992713623046896,-3690.6,-1728.8999999999999,148.79999999999998
80,1.9007480916030528,-1.1499923664122138,-0.5865038167938952,-0.0018038330078123596,0.00397155761718769,1.0031776123046896,-3690.6,-1728.8999999999999,148.79999999999998
81,0.7709770992366407,1.6286335877862594,1.7035725190839672,-0.0010714111328123596,-0.00408508300781231,0.9843787841796896,-3690.6,-1728.8999999999999,148.79999999999998
82,0.41983206106870175,-3.287396946564886,4.253190839694654,0.0016141357421876404,-0.0006671142578123096,1.0109901123046896,-3690.6,-1728.8999999999999,148.79999999999998
83,-0.05345038167938987,-4.096557251908397,-7.349862595419849,0.0016141357421876404,-0.0004229736328123096,1.0070838623046896,-3690.6,-1728.8999999999999,148.79999999999998
84,0.11448854961832011,0.9263435114503815,3.4287633587786237,0.00576452636718764,0.00519226074218769,0.9990272216796896,-3690.6,-1728.8999999999999,148.79999999999998
85,-4.358793893129771,-3.501137404580153,-7.120854961832063,-0.0030245361328123596,0.0027508544921876904,1.0019569091796896,-3690.6,-1728.8999999999999,148.79999999999998
86,-2.526732824427482,0.34619083969465636,-0.3574961832061092,-0.0027803955078123596,0.0003094482421876904,0.9917030029296896,-3690.6,-1728.8999999999999,148.79999999999998
87,-1.3511603053435117,-2.3255648854961835,2.8028091603053413,0.0006375732421876404,-0.01751281738281231,1.0000037841796896,-3690.6,-1728.8999999999999,148.79999999999998
88,-0.007648854961832541,-0.2950305343511451,7.978381679389311,0.0006375732421876404,-0.01629211425781231,0.9956092529296896,-3690.6,-1728.8999999999999,148.79999999999998
89,0.7251755725190835,2.45306106870229,-2.281160305343513,0.00478796386718764,-0.0028643798828123096,1.0009803466796896,-3690.6,-1728.8999999999999,148.79999999999998
90,-0.23665648854961874,2.9110763358778624,-6.632305343511452,0.0006375732421876404,-0.0004229736328123096,0.9990272216796896,-3690.6,-1728.8999999999999,148.79999999999998
91,1.0305190839694651,-0.6614427480916031,0.5890687022900742,-0.0018038330078123596,0.0005535888671876904,1.0009803466796896,-3690.6,-1728.8999999999999,148.79999999999998
92,0.5114351145038163,-2.066022900763359,8.17685496183206,-0.0018038330078123596,-0.0033526611328123096,1.0002479248046896,-3690.6,-1728.8999999999999,148.79999999999998
93,-0.7099389312977105,3.308022900763359,-1.8384122137404608,0.00478796386718764,-0.00506164550781231,0.9917030029296896,-3690.6,-1728.8999999999999,148.79999999999998
94,-0.8931450381679393,-9.317931297709922,-8.647572519083973,-0.03036828613281236,0.01495788574218769,1.0122108154296896,-3690.6,-1728.8999999999999,148.79999999999998
95,-0.23665648854961874,-1.6996106870229009,3.505099236641219,-0.00497766113281236,0.03351257324218769,1.0222205810546896,-3690.6,-1728.8999999999999,148.79999999999998
96,0.022885496183205678,-1.3179312977099238,-3.044519083969468,0.01406530761718764,-0.02068664550781231,1.0046424560546896,-3690.6,-1728.8999999999999,148.79999999999998
97,-2.5725343511450385,2.5904656488549618,-0.7544427480916056,0.0023465576171876404,0.01129577636718769,1.0105018310546896,-3690.6,-1728.8999999999999,148.79999999999998
98,-0.1450534351145043,-2.783580152671756,-2.5101679389313007,0.01235632324218764,0.08868835449218769,0.9921912841796896,-3690.6,-1728.8999999999999,148.79999999999998
99,2.8473129770992363,1.0942824427480915,-1.2124580152671776,0.11855749511718763,-0.11638977050781231,0.9270057373046896,-3690.6,-1728.8999999999999,148.79999999999998
100,-1.6565038167938935,-0.6919770992366413,-4.891847328244277,-0.09360070800781237,0.01959655761718769,0.9721717529296896,-3690.6,-1728.8999999999999,148.79999999999998
101,0.06868702290076278,3.002679389312977,-28.41856488549618,-0.01449914550781236,0.02472351074218769,1.0224647216796896,-3690.6,-1728.8999999999999,148.79999999999998
102,1.0610534351145033,-2.7530458015267176,-48.632305343511455,-0.09823937988281237,-0.03094055175781231,0.9919471435546896,-3690.6,-1728.8999999999999,148.79999999999998
103,5.625938931297709,2.880541984732824,-87.57887022900765,-0.06601281738281237,0.0010418701171876904,1.0034217529296896,-3690.6,-1728.8999999999999,148.79999999999998
